company_name,product_contract_link,product_end_date,product_id,product_name,product_price_link,product_sale_status,product_start_date,product_type
中国平安,http://life.pingan.com/upload/20100630184042248.pdf,2013-06-15,665,平安长期综合健康团体医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/2010063018360277.pdf,2012-01-01,258,平安意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20100630184241284.pdf,2012-01-01,24401,平安境外旅行紧急救援医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20180710001.pdf,,668,平安汇赢人生团体年金保险（投资连结型）,,在售,2018-06-30,团险
中国平安,http://life.pingan.com/upload/20100630182954168.pdf,2012-01-01,222/223,平安短期综合意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20111011142738848.pdf,2011-10-01,246,平安交通意外伤害保险条款,,停售,,团险
中国平安,http://life.pingan.com/upload/20111011142801397.pdf,2011-10-01,247,平安旅行意外伤害保险条款,,停售,,团险
中国平安,http://life.pingan.com/upload/20111011142829665.pdf,2011-10-01,261,平安附加伤残保障意外伤害保险条款,,停售,,团险
中国平安,http://life.pingan.com/upload/20111011142844852.pdf,2011-10-01,24501,平安境外旅行紧急救援医疗保险（A款）条款,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609142920985.pdf,2011-06-30,142,平安住院团体医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143001858.pdf,2011-06-30,157,平安高额团体医疗保险（A款）,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143026363.pdf,2011-06-30,224,平安手术医疗安全意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143041920.pdf,2011-06-30,230,平安补充住院团体医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143055352.pdf,2011-06-30,238,平安学生一年定期寿险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110630143411295.pdf,2011-06-30,239,平安附加残疾意外伤害保险条款,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143111322.pdf,2011-06-30,240,平安附加学生意外伤害医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143127436.pdf,2011-06-30,241,平安附加学生幼儿住院医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143142644.pdf,2011-06-30,248,平安附加残疾保障团体意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/2011060914315749.pdf,2011-06-30,276,平安航空旅客意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143210946.pdf,2011-06-30,277,平安少儿重大疾病保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143224860.pdf,2011-06-30,278,平安少儿定期寿险,,停售,,团险
中国平安,http://life.pingan.com/upload/20110609143238249.pdf,2011-06-30,279,平安附加少儿意外伤害医疗保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20100630184144238.pdf,2010-06-30,669,平安养老金转换年金保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20100630183139544.pdf,2010-06-30,237,平安建筑工程团体意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/20100630182811940.pdf,2010-06-30,140,平安团体意外伤害保险,,停售,,团险
中国平安,http://life.pingan.com/upload/file/20131220293.pdf,2017-04-01,293,平安建筑工程意外身故团体定期寿险（2013版）,,停售,,团险
中国平安,http://life.pingan.com/upload/file/20131220294.pdf,2017-04-01,294,平安附加建工残疾团体意外伤害保险（2013版）（A款）,,停售,,团险
中国平安,http://life.pingan.com/upload/file/20131220295.pdf,2017-04-01,295,平安附加建工残疾团体意外伤害保险（2013版）（B款）,,停售,,团险
中国平安,http://life.pingan.com/upload/20100630184215661.pdf,2018-07-01,14101,平安建筑工程团体意外伤害医疗保险,,停售,,团险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1393-1&DOC_CODE=01,,1393,平安附加轻症60豁免保险费疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1393-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1392-1&DOC_CODE=01,,1392,平安附加少儿福上福19豁免保费疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1392-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1391-1&DOC_CODE=01,,1391,平安附加少儿福上福19提前给付重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1391-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1390-1&DOC_CODE=01,,1390,平安少儿福上福19终身寿险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1390-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1389-1&DOC_CODE=01,,1389,平安附加少儿福保保19重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1389-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1388-1&DOC_CODE=01,,1388,平安附加福保保19重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1388-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1379-1&DOC_CODE=01,,1379,平安附加豁免保险费（C，100）重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1379-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1378-1&DOC_CODE=01,,1378,平安附加轻症50豁免保险费疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1378-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1377-1&DOC_CODE=01,,1377,平安附加少儿平安福（Ⅰ）豁免保费疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1377-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1376-1&DOC_CODE=01,,1376,平安附加少儿平安福（Ⅰ）提前给付重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1376-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1375-1&DOC_CODE=01,,1375,平安少儿平安福（Ⅰ）终身寿险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1375-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1361-1&DOC_CODE=01,,1361,平安附加福上福19提前给付重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1361-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1360-1&DOC_CODE=01,,1360,平安福上福19终身寿险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1360-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1359-1&DOC_CODE=01,,1359,平安附加平安福19Ⅱ提前给付重大疾病保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1359-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1358-1&DOC_CODE=01,,1358,平安平安福19Ⅱ终身寿险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1358-1&DOC_CODE=04,新产品,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1350-2&DOC_CODE=01,,1350,平安附加长期（2019）意外伤害保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1350-2&DOC_CODE=04,在售,2019-07-01,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=2056-1&DOC_CODE=01,,2056,平安百万随行两全保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=2056-1&DOC_CODE=04,在售,2019-06-18,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1058-1&DOC_CODE=01,,1058,平安幸孕星（2019）医疗保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1058-1&DOC_CODE=04,在售,2019-06-17,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1371-1&DOC_CODE=01,,1371,平安附加定期（2019）两全保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1371-1&DOC_CODE=04,在售,2019-05-27,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1370-1&DOC_CODE=01,,1370,平安附加定期（2019）意外伤害保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1370-1&DOC_CODE=04,在售,2019-05-27,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1369-1&DOC_CODE=01,,1369,平安尊享安心百分百两全保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1369-1&DOC_CODE=04,在售,2019-05-27,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1368-1&DOC_CODE=01,,1368,平安安心百分百两全保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1368-1&DOC_CODE=04,在售,2019-05-27,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1295-2&DOC_CODE=01,,1295,平安附加豁免保险费（A18）定期寿险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1295-2&DOC_CODE=04,在售,2019-05-24,个险
中国平安,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1056-2&DOC_CODE=01,,1056,平安附加e生保（保证续保版）医疗保险,http://www.pingan.com/life_insurance/elis.intf.queryClauseContent.visit?VERSION_NO=1056-2&DOC_CODE=04,在售,2019-05-24,个险
